Time (secs),pThr_arrestin_avg,pThr_arrestin_std,pTyr_arrestin_avg,pTyr_arrestin_std,pThr_noarrestin_avg,pThr_noarrestin_std,pTyr_noarrestin_avg,pTyr_noarrestin_std
0,0.082847304,0.067909543,0.063094803,0.06237096,0.121154488,0.099332327,0,0.039819187
2,0.03243895,0.075100047,0.034019994,0.051468922,0.134077515,0.101690801,0,0.029121446
4,0.001455008,0.056534114,0.029153747,0.033215504,0.185443048,0.126096629,0,0.009205802
6,0.007446635,0.060994411,0.04862097,0.032222401,0.198708947,0.10498637,0,0.018107082
8,0.050931343,0.079241717,0.057083252,0.036613135,0.210041507,0.038138025,0,0.019152775
10,0.093930987,0.079085612,0.066668226,0.024875227,0.217698571,0.066670313,0,0.02118774
12,0.167436634,0.189613448,0.08451757,0.043684605,0.190757833,0.079576728,0,0.023623669
15,0.226082216,0.092229932,0.109384666,0.070022642,0.228638826,0.113247318,0,0.024049235
30,0.4695154,0.224736549,0.178369586,0.04754453,0.413670388,0.290793777,0.046870848,0.058462621
60,0.612821781,0.164895955,0.275963031,0.020410712,0.707526925,0.344327008,0.306377446,0.118311321
3600,1.23242902,0.341490714,0.574201515,0.06837413,1.478790149,0.301915875,0.743468987,0.426864648